variable_name,description,category,wave,n_nonmissing,n_missing,dtype
memeory_wave4,Memory score component,Cognitive Function,Wave 4,15688,10185,Continuous (float)
executive_wave4,Executive function score component,Cognitive Function,Wave 4,12699,13174,Continuous (float)
total_cognition_wave4,Total cognitive function score,Cognitive Function,Wave 4,12143,13730,Continuous (float)
cesd10_wave4,CESD-10 depression score (range 0-30),Depression,Wave 4,18005,7868,Continuous (float)
hhcperc_wave4,Household consumption per capita,Living Arrangements,Wave 4,16491,9382,Continuous (float)
hchild_wave4,Number of living children,Living Arrangements,Wave 4,19816,6057,Continuous (float)
pension_wave4,Pension receipt status,Insurance & Social Security,Wave 4,17666,8207,Continuous (float)
ins_wave4,Health insurance type,Insurance & Social Security,Wave 4,19772,6101,Continuous (float)
ea001s1_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
ea001s2_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
ea001s3_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
ea001s4_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
ea001s5_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
ea001s11_wave4,,Work & Income,Wave 4,19772,6101,Continuous (float)
satlife_wave4,,Other,Wave 4,18152,7721,Continuous (float)
adlab_c_wave4,,Functional Status,Wave 4,19455,6418,Continuous (float)
iadl_wave4,IADL summary score,Functional Status,Wave 4,19721,6152,Continuous (float)
fcamt_wave4,,Other,Wave 4,19612,6261,Continuous (float)
tcamt_wave4,,Other,Wave 4,19612,6261,Continuous (float)
income_total_wave4,,Other,Wave 4,14162,11711,Continuous (float)
doctor_wave4,,Other,Wave 4,19764,6109,Continuous (float)
hospital_wave4,,Other,Wave 4,19764,6109,Continuous (float)
fall_down_wave4,,Other,Wave 4,19741,6132,Continuous (float)
hip_wave4,,Other,Wave 4,19741,6132,Continuous (float)
130,,Other,Non-wave,19816,6057,Continuous (float)
city_wave4,,Other,Wave 4,19816,6057,Continuous (float)
age_wave4,Age in years,Demographics,Wave 4,19800,6073,Continuous (float)
edu_wave4,,Other,Wave 4,19816,6057,Continuous (float)
exercise_wave4,,Other,Wave 4,19732,6141,Continuous (float)
totmet_wave4,,Other,Wave 4,19732,6141,Continuous (float)
